# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.254905546115829202e+04 1.419526316734619104e+04 1.681392777674274112e+04 1.029518495394931233e+04 7.701382266531078130e+03 2.468430777479414610e+04 1.048070021460137104e+04 1.096518813568791848e+04 3.397956847301244852e+04 3.302832281449427228e+03 8.838791865423692798e+03 1.027507775761419180e+04 8.800683511324103165e+03 1.510320935214596466e+04 2.107041312528812341e+04 1.182783083594925483e+04 1.772539912007972453e+04 7.876459207147630877e+03 9.157044112404866610e+03 1.498266533418700237e+04 4.436732220057688210e+03 5.868268386818866929e+03 3.448765373438098777e+03 1.656562872537234944e+04 2.169139807621958607e+04 1.052984909929928654e+04 7.796814946733610668e+03 3.229857547264992172e+04 6.663136994174380561e+03 6.852367970636249083e+03 3.606769984920447769e+03 7.151046594681305578e+03 9.390110175252568297e+03 1.311932658358924527e+04 2.052781554943604715e+04 3.047056601774707360e+03 1.716643648520299394e+04 5.293648352457841247e+04 7.462853052897829912e+03
2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01 2.285088871102993746e-01
2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01 2.837960671385643674e-01
2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01 2.783066099369194690e-01
2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01 2.093884358142167612e-01
1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00 1.889799535417864274e+00
9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02 9.619533424934713361e-02
9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01 9.354032579905527944e-01
1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01 1.467112498159240108e-01
