# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.253744369533134886e+04 1.419816676353591538e+04 1.681122310405719327e+04 1.028522677789569025e+04 7.699333692948162934e+03 2.467610312411105770e+04 1.045802633148774294e+04 1.096209671830913612e+04 3.399157996382059355e+04 3.188333211000920528e+03 8.829757747088577162e+03 1.027656400007465527e+04 8.797020486653285843e+03 1.510021891482336105e+04 2.107359644340841623e+04 1.179216552274811511e+04 1.770724614814639062e+04 7.876159720598139756e+03 9.155077777506416169e+03 1.497566309326527880e+04 4.434284193171531115e+03 5.868370789855224757e+03 3.444509004669369006e+03 1.655323745971672179e+04 2.167684761018196878e+04 1.051095593646655652e+04 7.795263868703259504e+03 3.229459676834004495e+04 6.656807089250553872e+03 6.787688855414866339e+03 3.604469575771712698e+03 7.147285658764987602e+03 9.380638472851220286e+03 1.311509840087021257e+04 2.051350261215387582e+04 3.046764834149705166e+03 1.713250650644044799e+04 5.293754222764117003e+04 7.459510390190324870e+03
2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01 2.284650495694084682e-01
2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01 2.838039256839127722e-01
2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01 2.783520761824320178e-01
2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01 2.093789485642467696e-01
1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00 1.891954776338665045e+00
9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02 9.689381954134011765e-02
2.201942473853220950e+00 8.601060140204235260e-01 7.575160034867174375e-01 4.942430385125301529e-01 8.647018981931828829e-01 7.445993696748050006e-01 1.779758876172464532e+00 9.404760095168078760e-01 1.137323519490115675e+00 1.800654720760488772e+02 4.361767111928459006e-01 9.402721861703171591e-01 6.383048045595045572e-01 9.287685439444625102e-01 1.052914579314665477e+00 2.291554097939357604e+00 4.420893661475952530e-01 9.214330321507753219e-01 9.478997035819684003e-01 5.707095231763319454e-01 2.932673845813851266e-01 1.082814094792843296e+00 1.769265202374095791e+00 5.764700900507320203e-01 1.635744855551973798e+00 2.808732043770492570e+00 1.064260561835426611e+00 1.048611540455190339e+00 6.379219327850920163e-01 6.371243301310413720e+00 2.007863815849048328e-01 6.100652101391826898e-01 1.564478597341594002e+00 5.821652788726832117e-01 1.148554678824424302e+00 6.630189775077626191e-01 9.987296063376870092e-02 9.222397683025951309e-01 1.371559393704818719e+00
1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01 1.454645037359438564e-01
