# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.242727014899050664e+04 1.413691010585134791e+04 1.681224059686638429e+04 1.029247142033761702e+04 7.653814020385279946e+03 2.460469741126227746e+04 1.046522754939017250e+04 1.082494537856804163e+04 3.350713967737772327e+04 3.057213332900054411e+03 8.835619072733519715e+03 1.025707720638599494e+04 8.793210986986659918e+03 1.500284640270805903e+04 2.098628653388549355e+04 1.182624040265297845e+04 1.771114816747274745e+04 7.878622386519348765e+03 9.126649944708560724e+03 1.497602841359275044e+04 4.376722581721771348e+03 5.863708116851246814e+03 3.449417994279869163e+03 1.652557497887061254e+04 2.168979630496888421e+04 1.043848701715949392e+04 7.771742054488364374e+03 3.224014237006128678e+04 6.482880434371933916e+03 6.649663003897268936e+03 3.537934537145404647e+03 7.147039110018155952e+03 9.370665391101016212e+03 1.310960163174231457e+04 1.993834224426099536e+04 3.040250947791510953e+03 1.697494433023612510e+04 5.293363664641611831e+04 7.452643646967819222e+03
2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01 2.270113877141269887e-01
2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01 2.851589653564512994e-01
2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01 2.792873342470864051e-01
2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01 2.085423126823353068e-01
1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00 1.904943749227549832e+00
4.327908222331500188e-02 5.864503844983884329e-02 1.047628005768505843e-01 1.023874880197526149e-01 1.624536184954248064e-01 1.352534193767903625e-01 1.259205142264617772e-01 1.980824247386923365e-01 3.547528556096761487e-02 2.476680833757580105e-03 9.133621083936194207e-02 6.911294110270860269e-02 1.086487100215944857e-01 1.646711176414392408e-01 5.999089132133922364e-02 1.091640688101591372e-01 1.155629379660522010e-01 9.656998109825434828e-02 1.391750097487607640e-01 8.752103254641899199e-02 3.850199240211564511e-02 7.828393631656102580e-02 8.649594769305021802e-02 1.310381481604531162e-01 1.026969426183402812e-01 4.496180115206073469e-02 1.384063806497460303e-01 1.261898325437378343e-01 2.770160630958169445e-01 1.994091459643097461e-02 3.005822169150821135e-02 1.084642469134062537e-01 1.290956085892034644e-01 7.800389427840598300e-02 2.864357339975890371e-01 6.779354194314231308e-02 4.208012821082325605e-02 8.750867849385451924e-02 1.222492467937058569e-01
8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01 8.948727561135166875e-01
1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01 1.460857800688865893e-01
