# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.233163552908465863e+04 1.409887445399066382e+04 1.675418020327546765e+04 1.023520308920816933e+04 7.539745162386700031e+03 2.443952132116085340e+04 1.029634329814906596e+04 1.066670658995168924e+04 3.326422597689464601e+04 2.995026326254937885e+03 8.745617360421147168e+03 1.020714080768532767e+04 8.712452754474543326e+03 1.490505804065802295e+04 2.087633980949189572e+04 1.172728163158918869e+04 1.764687847180925019e+04 7.807886942965693379e+03 9.052859957970189498e+03 1.491485870530767716e+04 4.283760408168312097e+03 5.817174368643617527e+03 3.423300377113601371e+03 1.647786117334162554e+04 2.156676052139021340e+04 1.032294719971249651e+04 7.714596663280417488e+03 3.207474798576680769e+04 6.400281225582531079e+03 6.507602690493875343e+03 3.469452760189524270e+03 7.114006256650121941e+03 9.326101704694656291e+03 1.302570175303330507e+04 1.953699257523206325e+04 2.961983306009929038e+03 1.676279317627008277e+04 5.262818624090025696e+04 7.418530689748457007e+03
2.300748671237062837e-01 2.089370404167073814e-01 2.362063684810024322e-01 2.298749746645618874e-01 1.602946105765371554e-01 2.313782419852896677e-01 2.372465928041707361e-01 2.532233982120721816e-01 2.140081238314753276e-01 1.973051777625250969e-01 1.894898833013651529e-01 2.761227124173738501e-01 2.248567486927831593e-01 2.375971427141646553e-01 2.215500182517433914e-01 2.160381197592426694e-01 2.210798943884705603e-01 3.008821262931913321e-01 2.691693402662398982e-01 2.394683577884714754e-01 1.835926102858140008e-01 2.209716098904328796e-01 2.221729790198944676e-01 2.056930951350592895e-01 2.211103815670762140e-01 2.048607766805667085e-01 2.061957925900626543e-01 2.263368476087948555e-01 2.112761284492761793e-01 2.425942164316172434e-01 2.240453097468390886e-01 2.293347140514695182e-01 2.242354526404247705e-01 1.819515289779295997e-01 2.701589741785356824e-01 2.263050262371698873e-01 2.012008765457031223e-01 2.610399533426310814e-01 2.188828686727178618e-01
2.870582894415739106e-01 2.915478036882805379e-01 2.571108148738411314e-01 2.621963808920158012e-01 3.210006807133655715e-01 3.022255376399781701e-01 2.797591153765882632e-01 2.878182018005290832e-01 2.892831729518290373e-01 2.954840258704716782e-01 3.175142961046200085e-01 2.423695010838969599e-01 3.177472262662277003e-01 2.545659439417333747e-01 3.041951643395708338e-01 2.757627420613564806e-01 3.051829802484893328e-01 2.399056659832813909e-01 2.481587708278517601e-01 2.858674398675296602e-01 3.483771630076435422e-01 3.610393870060196186e-01 2.496270656465718885e-01 2.886094027489335967e-01 2.971277107324009625e-01 2.957905705067297997e-01 2.969735605780199905e-01 2.965962196288091657e-01 2.989884621571014534e-01 2.533562944074174150e-01 3.005505512707172255e-01 2.591774749655317289e-01 2.765312681924293470e-01 3.129503255341251622e-01 2.504385782019562523e-01 2.970437138607744387e-01 3.332717509898172614e-01 2.430224849000172105e-01 2.870591642245209352e-01
2.760902076374104341e-01 2.918302316714267430e-01 2.769079806796179155e-01 2.947953442742951013e-01 3.258250579400891467e-01 2.737532289490891557e-01 2.846668825151399962e-01 2.544051959755985193e-01 2.840285553144126229e-01 3.226222858183064313e-01 3.007216626031952167e-01 2.699762791720253796e-01 2.804189779354956391e-01 3.234380557291292035e-01 2.684380033596185933e-01 2.580645668355588951e-01 2.827581052144245155e-01 2.475048293053561943e-01 2.727226518599080163e-01 2.705872364233203320e-01 3.223846309197884730e-01 2.545908033285817496e-01 2.952686081398300799e-01 2.993637728125574382e-01 2.701889436369918629e-01 2.961923968491387837e-01 2.783343169592003563e-01 2.805230424469402073e-01 3.071393482534566233e-01 2.722848775058864246e-01 2.717980622576043337e-01 2.907456274894722470e-01 2.879494676724239088e-01 2.942041804830977658e-01 2.608493029561371190e-01 2.790394685884658443e-01 2.762777221735530087e-01 2.495858744393053552e-01 2.994594263723595606e-01
2.067766357973093716e-01 2.076849242235853377e-01 2.297748359655384653e-01 2.131333001691272100e-01 1.928796507700081819e-01 1.926429914256430065e-01 1.983274093041009489e-01 2.045532040118002159e-01 2.126801479022830677e-01 1.845885105486967659e-01 1.922741579908195664e-01 2.115315073267038104e-01 1.769770471054935013e-01 1.843988576149727665e-01 2.058168140490671261e-01 2.501345713438420382e-01 1.909790201486155636e-01 2.117073784181710550e-01 2.099492370460003254e-01 2.040769659206785325e-01 1.456455957867539563e-01 1.633981997749657800e-01 2.329313471937035640e-01 2.063337293034496478e-01 2.115729640635309605e-01 2.031562559635647358e-01 2.184963298727169989e-01 1.965438903154557437e-01 1.825960611401657718e-01 2.317646116550789448e-01 2.036060767248392689e-01 2.207421834935265337e-01 2.112838114947219736e-01 2.108939650048474723e-01 2.185531446633709463e-01 1.976117913135898574e-01 1.892496502909265799e-01 2.463516873180463251e-01 1.945985407304016146e-01
1.867101440243820187e+00 1.837077720363109234e+00 1.778490831485292523e+00 1.784017579024844480e+00 1.494305771106739789e+00 2.074912575815598625e+00 1.606309006254853289e+00 1.876872022109232097e+00 1.900502935000207616e+00 2.696466917797070373e+00 1.984018718257700709e+00 2.034353294867192741e+00 2.102568692661176186e+00 1.672026910068493022e+00 2.186953647439228376e+00 1.541338126678200249e+00 2.060282562916263771e+00 2.024566244393988690e+00 1.832944834194099704e+00 2.021826773404511890e+00 2.259244105496521104e+00 2.086419666518362526e+00 1.828668959798427807e+00 1.817307966119095841e+00 1.704212899559185646e+00 1.943455862500725884e+00 1.842667877808042753e+00 1.909006278433712511e+00 2.327054603497194840e+00 1.566801126191074811e+00 1.856729760219960168e+00 1.995010160137027366e+00 1.576714645947017157e+00 2.046165317459943012e+00 1.598262443033520386e+00 1.526398244634307177e+00 2.296199758719038364e+00 2.295423317061903390e+00 1.729945010888518375e+00
5.285927374385977068e-02 6.339420330867250042e-02 1.058351329332210683e-01 9.567491518049874022e-02 1.381690068248431491e-01 1.144381872621874074e-01 1.086904079384683058e-01 1.618593853614353484e-01 4.109331826068884919e-02 2.713900634258217554e-03 8.000988548035925518e-02 7.504376137749245446e-02 8.778945871314353111e-02 1.570539289946440986e-01 6.154236147200457113e-02 1.045164274306260160e-01 1.214516130397383653e-01 9.791909281429815592e-02 1.254793561845194416e-01 7.681371910026324468e-02 2.996090850467163919e-02 7.554180382712404052e-02 8.823456811302961278e-02 1.220839511516184639e-01 9.734512304605916211e-02 5.344149752776568979e-02 1.285496194535861170e-01 1.203515891668577864e-01 2.201643192766613022e-01 2.285944690045641631e-02 3.636865242305482859e-02 1.003176400515911060e-01 1.138815579942702022e-01 8.108075402064013337e-02 2.038763412964326727e-01 6.717643755234747882e-02 4.219222876209043072e-02 8.928782437768810476e-02 1.143128882508224059e-01
9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01 9.945581374682616049e-01
2.855342792510315864e-01 1.357790078057345418e-01 1.068676473528865495e-01 1.080907966126090636e-01 1.227575505329623895e-01 7.242935580433891574e-02 2.355778987640600175e-01 7.485152273110072529e-02 1.860783387635904507e-01 2.608888826324433641e-01 5.583904986808151810e-02 1.235691821931290540e-01 5.754934542158676031e-02 1.052325484014535184e-01 1.939128515275304332e-01 2.475162844717954391e-01 7.367056750823372524e-02 9.750714704134534616e-02 8.890621331080798828e-02 9.448814117514162114e-02 1.161558832898212518e-01 1.524658434893876868e-01 3.426954808500153327e-01 9.834667835585841900e-02 1.823065345065762177e-01 2.868704449135493495e-01 1.139365563798797054e-01 9.957220936450793258e-02 5.647605118938670010e-02 5.385651822195555161e-01 6.190887372424756785e-02 1.272868402691340328e-01 1.959498904563307109e-01 1.130484112055742951e-01 9.030990060080169857e-02 8.566048264546421986e-02 8.226432346893569614e-02 1.184292525893205356e-01 1.380163173195769477e-01
