# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.237941342390535647e+04 1.412510016751339936e+04 1.676122885653147387e+04 1.023492018294889203e+04 7.561118550827473882e+03 2.446187029669210460e+04 1.029964018788359317e+04 1.073028732552596557e+04 3.352939468964938715e+04 3.103797396885788658e+03 8.747217679730416421e+03 1.021091114000475864e+04 8.711716259525019268e+03 1.497929788170370739e+04 2.090991860356650068e+04 1.172392185642953882e+04 1.767290966617698723e+04 7.804623352547666400e+03 9.064190461181224236e+03 1.492060189140179864e+04 4.339227171722353887e+03 5.820128243467761422e+03 3.423151348360775501e+03 1.649491562765709750e+04 2.156797015545046452e+04 1.035965948179102270e+04 7.729837832743703075e+03 3.212085337755154251e+04 6.484920786240485540e+03 6.604481327573969793e+03 3.503313793065522987e+03 7.108450049078604934e+03 9.330711721095523899e+03 1.302459920487541240e+04 1.971243926384175938e+04 2.964610563431414448e+03 1.685636787444324000e+04 5.262744731169140869e+04 7.425065354138447219e+03
2.340560877033805165e-01 2.119127103992751171e-01 2.348830718536404072e-01 2.296512271426731089e-01 1.536003661760626526e-01 2.282755110458248582e-01 2.338043711152330562e-01 2.460989868863994179e-01 2.191797949372472631e-01 2.139277101301985395e-01 1.918192348978328410e-01 2.773041836614312250e-01 2.245052962935575880e-01 2.243734313441911876e-01 2.276644321514270375e-01 2.143104971102842704e-01 2.180183756598168543e-01 2.994600564009134991e-01 2.657191053495489563e-01 2.412789999120826534e-01 2.059206612150076832e-01 2.248677227451480742e-01 2.221544283958769295e-01 2.022319992226041807e-01 2.193889221725327798e-01 2.097367185545980506e-01 1.984462732000939755e-01 2.215294286189275208e-01 2.008692367273589019e-01 2.474918684853122663e-01 2.309448517634599130e-01 2.300423104324494650e-01 2.218907045262036026e-01 1.835431610845735528e-01 2.643089719984504371e-01 2.309422321129614708e-01 2.117653361944769330e-01 2.606966816287349942e-01 2.154359416077432088e-01
2.835185506004515021e-01 2.888971477810202138e-01 2.576678194086708951e-01 2.622955920786124717e-01 3.280627144410701579e-01 3.039312182289780062e-01 2.828147726671722539e-01 2.935446223621973050e-01 2.850267256900114732e-01 2.831903020917974634e-01 3.150168142745970457e-01 2.426369435357658422e-01 3.178043220946417113e-01 2.592502500970288448e-01 2.966959786613648231e-01 2.792489244564492767e-01 3.079630065064796196e-01 2.410593263358712379e-01 2.492930849994525466e-01 2.849068457942643962e-01 3.256937952704171968e-01 3.567547903830242673e-01 2.500124868796825828e-01 2.907075964128995049e-01 2.989075597556413166e-01 2.898774595000996324e-01 3.073473575282735237e-01 3.021496170780428314e-01 3.083998538939215495e-01 2.534835229914840782e-01 2.954965150097352833e-01 2.583831620736088408e-01 2.789261389943338276e-01 3.103266022528909374e-01 2.529378163895704690e-01 2.931673327406297269e-01 3.228971278323094496e-01 2.434957029651403093e-01 2.898468610635756004e-01
2.706619116115032697e-01 2.883565383128729454e-01 2.790894402086835369e-01 2.954687715886857302e-01 3.385535144625860249e-01 2.767182656698972121e-01 2.877468222586562763e-01 2.590327444156529380e-01 2.765035605109514294e-01 2.992535992573306380e-01 2.986998057787574878e-01 2.668810691900904142e-01 2.804202207598677221e-01 3.418530109445263032e-01 2.633831313366006843e-01 2.585750477496120414e-01 2.869889739664274741e-01 2.479030170201826089e-01 2.770878436157888092e-01 2.685460268530931449e-01 3.012705316806930655e-01 2.528701343997744044e-01 2.946949701155265333e-01 3.039149011005333745e-01 2.715815887298482223e-01 2.890904883414500137e-01 2.853004282845931217e-01 2.849882915927814953e-01 3.212999460515909012e-01 2.583498459718205353e-01 2.619976266835309930e-01 2.925549155931520540e-01 2.915199265496687397e-01 2.922741188468453988e-01 2.705485121934299575e-01 2.744886110240952193e-01 2.650795768871159752e-01 2.493207992380256921e-01 3.040312151151985942e-01
2.117634500846646561e-01 2.108336035068317516e-01 2.283596685290051331e-01 2.125844091900286892e-01 1.797834049202811924e-01 1.910750050552999235e-01 1.956340339589383859e-01 2.013236463357503392e-01 2.192899188617897788e-01 2.036283885206734146e-01 1.944641450488125978e-01 2.131778036127125187e-01 1.772701608519330341e-01 1.745233076142537476e-01 2.122564578506074551e-01 2.478655306836544392e-01 1.870296438672761352e-01 2.115776002430326264e-01 2.078999660352096879e-01 2.052681274405598055e-01 1.671150118338820822e-01 1.655073524720533096e-01 2.331381146089139822e-01 2.031455032639629121e-01 2.101219293419777367e-01 2.112953336038522756e-01 2.089059409870394624e-01 1.913326627102480970e-01 1.694309633271286197e-01 2.406747625513831479e-01 2.115610065432738107e-01 2.190196119007896125e-01 2.076632299297937745e-01 2.138561178156901665e-01 2.122046994185491364e-01 2.014018241223136108e-01 2.002579590860976144e-01 2.464868161680990044e-01 1.906859822134825411e-01
1.997360932986685045e+00 1.910774777466412333e+00 1.736455826045796735e+00 1.766267387548896339e+00 1.472488162325618521e+00 2.061345388801268275e+00 1.574815545950677409e+00 1.726839783829730912e+00 2.005099855521497165e+00 2.863726656752849209e+00 1.981727944794875462e+00 2.085203697806268686e+00 2.102959904872929275e+00 1.526730155442505898e+00 2.234938953742934054e+00 1.511165623417726644e+00 2.014530220312583442e+00 1.998717544529035939e+00 1.759474040512980508e+00 2.032753476365459999e+00 2.035186926577125632e+00 2.112481175021903912e+00 1.841785003071829019e+00 1.757634009596820146e+00 1.687568685498903820e+00 2.006315363952055009e+00 1.806941660460678056e+00 1.855697018879773008e+00 2.295392098100375033e+00 1.938479514877628818e+00 2.071453758581473181e+00 1.969539110999336540e+00 1.536020272364769124e+00 2.050240372416307633e+00 1.435882223342833219e+00 1.590606959314935898e+00 2.287562804506233949e+00 2.294907256017920449e+00 1.674980522415284501e+00
9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02 9.042119924463967728e-02
1.266495911761311488e+00 6.752489586156048551e-01 9.133697593997442965e-01 6.998322353310625354e-01 6.224044713217468106e-01 1.345598565956815484e+00 1.468702907053149431e+00 2.418348898618001286e+00 8.367848236802810646e-01 6.918949610983031562e+01 6.290343169309735583e-01 2.062117381061223220e+00 2.505538209862384402e+00 4.767127645864071561e-01 4.752201043124184010e-01 2.049339001625458234e+00 6.076309104860315724e-01 4.721414869826307203e+00 8.970077815885977301e+00 8.611402636489861040e-01 5.335685917319842320e-01 9.459516862280875626e-01 1.142390645239571789e+00 4.261853270775077251e-01 1.184948826515834774e+00 1.452855572339759815e+00 1.273617223486698036e+00 1.230282199439360236e+00 8.953054417938137721e-01 2.763403766842549292e+00 1.242871271946847100e-01 3.591844568103860769e-01 1.721710730251270638e+00 5.144203987233184616e-01 9.502930552547541598e-01 3.329332857461244632e-01 1.181160771319780811e-01 1.190798278460199811e+00 1.269631881842182342e+00
2.801423484853573509e-01 1.792148450396512105e-01 1.127182473521322198e-01 1.369927449143533149e-01 1.606917720700354879e-01 5.621593352801371180e-02 1.687016369626546386e-01 3.229367441124356836e-02 2.228369011131378363e-01 3.397053258998515846e-01 7.844652057870427075e-02 7.216569101318326407e-02 2.661158014760511142e-02 1.636895651953401420e-01 3.058450971056206891e-01 1.466966301157701380e-01 1.071572700205961903e-01 2.825416006159194027e-02 1.216963506370970401e-02 1.042637468475463430e-01 1.974310923178461685e-01 1.640657650972280890e-01 3.159262413530244951e-01 1.839690447300935117e-01 1.596141546319078675e-01 2.681204841842839137e-01 9.081927577662600448e-02 8.041015230423266547e-02 5.788392880284663061e-02 4.642165450884844224e-01 1.922556493053633186e-01 2.457767848511049624e-01 1.353047351418758537e-01 1.763587448034494576e-01 8.610282086782983235e-02 1.947065337287588460e-01 2.676708851957008140e-01 1.042440018890524733e-01 1.137233583980935409e-01
