# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.235407818464214142e+04 1.409864003181160297e+04 1.675468380297032854e+04 1.023501478739575941e+04 7.538909511892101364e+03 2.445573376563690908e+04 1.032351711175385208e+04 1.067327868801738987e+04 3.327323011471309292e+04 2.997126691590027804e+03 8.754175666710332735e+03 1.020848437745564661e+04 8.722490327078427072e+03 1.490411892249611265e+04 2.088252257132351588e+04 1.175212196351395687e+04 1.765339240725549462e+04 7.810182862114670570e+03 9.056945215664931311e+03 1.491743739191992427e+04 4.283478939610537964e+03 5.818188613258609621e+03 3.436238222248133297e+03 1.647694869831758479e+04 2.157624984493070224e+04 1.033995877790112718e+04 7.714931111744599548e+03 3.207846510585462238e+04 6.408606841010968310e+03 6.571468331316914373e+03 3.470434671182081729e+03 7.112295438995404766e+03 9.333792400951795571e+03 1.302454727372529487e+04 1.954219581834173732e+04 2.962374817771215930e+03 1.676192718900271575e+04 5.263093305211836559e+04 7.419055145695952888e+03
2.285642888575822040e-01 2.089108288209860498e-01 2.367361143836495263e-01 2.305410348249434804e-01 1.602835540092461541e-01 2.330114249702318618e-01 2.353274772527972070e-01 2.542851665376112957e-01 2.134456665942661147e-01 1.953195655050126434e-01 1.910058956762162030e-01 2.763886289888008441e-01 2.260826503238692886e-01 2.383631742143174359e-01 2.211831812970042610e-01 2.147998936525414848e-01 2.218665207666268846e-01 3.013707807141899342e-01 2.702828086667962704e-01 2.405261626694296939e-01 1.838612399217304794e-01 2.204867435177483292e-01 2.200565795248488055e-01 2.063656275609334900e-01 2.202624334733058187e-01 2.030231133307810465e-01 2.065391357349192492e-01 2.271735565307837768e-01 2.132934659414036926e-01 2.367960691678921148e-01 2.250642156330770194e-01 2.294935715352438010e-01 2.230774158312081035e-01 1.822195356975247482e-01 2.709871575691386036e-01 2.279684155303407234e-01 2.018882218212812996e-01 2.611787113280236716e-01 2.188133287675393945e-01
2.898192353192477477e-01 2.916119797645754241e-01 2.566980138577064086e-01 2.616103351459190263e-01 3.211296217781735574e-01 3.002757666619887966e-01 2.820467987208495342e-01 2.871076068526749459e-01 2.895675757965677222e-01 2.978527287880166075e-01 3.159014712057398588e-01 2.422131796015482841e-01 3.161575384159924784e-01 2.539674604341545794e-01 3.047525276444126852e-01 2.781914180528741731e-01 3.042229574657638880e-01 2.392945656802138443e-01 2.476034813573376459e-01 2.849783594411754994e-01 3.480955913846353056e-01 3.613398317867338450e-01 2.517577891422854708e-01 2.880134708617732575e-01 2.980913918358388814e-01 2.981612305025373999e-01 2.966196972792393138e-01 2.955989037180915546e-01 2.973346089052348873e-01 2.589691922517428080e-01 2.989698371516690822e-01 2.591234918363331530e-01 2.779400078950698960e-01 3.125620835718326829e-01 2.493766360135960813e-01 2.958067390622134973e-01 3.328905247010270352e-01 2.429835961281786860e-01 2.869952826047230121e-01
2.759044665439098765e-01 2.917976013954109438e-01 2.766353348996051231e-01 2.943972214271325383e-01 3.255889802288545742e-01 2.728953584754073569e-01 2.853864761444945830e-01 2.539257691673673656e-01 2.837655638648513001e-01 3.226659121879781877e-01 2.992000193543074560e-01 2.698295996322746526e-01 2.800451705096408395e-01 3.230660946268835709e-01 2.685416623971644823e-01 2.587912338626790487e-01 2.825744354775269751e-01 2.474180867505732517e-01 2.722036723141849635e-01 2.699791414672823020e-01 3.221769949621998697e-01 2.548540519836038909e-01 2.974370216588986260e-01 2.990656600260703235e-01 2.704660605019689190e-01 2.965919747786106564e-01 2.781588568156046493e-01 2.804951746494424025e-01 3.054726612450360812e-01 2.755277450928776961e-01 2.713582978495981957e-01 2.907175829348822016e-01 2.883911947659618114e-01 2.940285403783492457e-01 2.604236834007858103e-01 2.781322978476046814e-01 2.759453366588816570e-01 2.495191527176537083e-01 2.997160549189786249e-01
2.057120092792601995e-01 2.076795900190275823e-01 2.299305368590389698e-01 2.134514086020049828e-01 1.929978439837257143e-01 1.938174498923719846e-01 1.972392478818587036e-01 2.046814574423463928e-01 2.132211937443148353e-01 1.841617935189925059e-01 1.938926137637365932e-01 2.115685917773762192e-01 1.777146407504973380e-01 1.846032707246443860e-01 2.055226286614185438e-01 2.482174544319053766e-01 1.913360862900822801e-01 2.119165668550229698e-01 2.099100376616810648e-01 2.045163364221124491e-01 1.458661737314342621e-01 1.633193727119139349e-01 2.307486096739670978e-01 2.065552415512228734e-01 2.111801141888863809e-01 2.022236813880708972e-01 2.186823101702367322e-01 1.967323651016822939e-01 1.838992639083253111e-01 2.287069934874874089e-01 2.046076493656557582e-01 2.206653536935408444e-01 2.105913815077602447e-01 2.111898403522932677e-01 2.192125230164795047e-01 1.980925475598410979e-01 1.892759168188100083e-01 2.463185398261439063e-01 1.944753337087589684e-01
1.875839245478074568e+00 1.834997912028464073e+00 1.779727418263423733e+00 1.783073039961394990e+00 1.495148441321289434e+00 2.067781099585176197e+00 1.599178311118662377e+00 1.875520880970346527e+00 1.895771987772686185e+00 2.681997458460320782e+00 1.971380374339008590e+00 2.032676512694898019e+00 2.088944611806722751e+00 1.669396874625475258e+00 2.187898570463948200e+00 1.542586348901604065e+00 2.054336322072511489e+00 2.026318389289623934e+00 1.836759634104757399e+00 2.023265693174781887e+00 2.256821171247358038e+00 2.092721473018209100e+00 1.795565689345159477e+00 1.821460449798891323e+00 1.695718660533487299e+00 1.949864600402644532e+00 1.842441326421267123e+00 1.904989470033993326e+00 2.323943929621177240e+00 1.582244223481055645e+00 1.846117523646990222e+00 1.996688373580248088e+00 1.568901495929065470e+00 2.045964050779583321e+00 1.598196143709676553e+00 1.516822297417503185e+00 2.297361066813821129e+00 2.294463859013171625e+00 1.729631737120508328e+00
5.255069510089614010e-02 6.357482205885410520e-02 1.062400566650696793e-01 9.641986590057742557e-02 1.384081137483865187e-01 1.156515423430909406e-01 1.072087407411611015e-01 1.648377756300642150e-01 4.109701965700698206e-02 2.715324403157638213e-03 8.032200089353083716e-02 7.522972665443490581e-02 8.971813514956092361e-02 1.579691401686161845e-01 6.115901846191483526e-02 1.039683831547536796e-01 1.226088763490380124e-01 9.803314703218478365e-02 1.265603909924438442e-01 7.706436566791974307e-02 2.996111370464909704e-02 7.517839242457924342e-02 9.220898021843598746e-02 1.227826762753103235e-01 9.661926684023304512e-02 5.325357358618380832e-02 1.291018346753689816e-01 1.212022188610439588e-01 2.252036275970400181e-01 2.329227532262544142e-02 3.686041986897214962e-02 1.004469594091117746e-01 1.143736661160989765e-01 8.121443623028415382e-02 2.054834406745515707e-01 6.758098678093396594e-02 4.251521381014122108e-02 8.953372606479736984e-02 1.143114446499720327e-01
8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01 8.529369581715483539e-01
1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01 1.373934084058441585e-01
1.745400372710908810e-01 2.143613782813182655e-01 3.316262486716564650e-01 8.718317552005649951e-01 5.337440405249368469e-01 4.513703470204329937e-01 7.149625303913507146e-01 5.404653080226868855e-01 2.503300268615429314e-01 6.580259199118139446e-02 6.708026102766585508e-01 3.764781589840944243e-01 4.717345911415142812e-01 1.963928020040515421e-01 3.047720249074703514e-01 3.183301574954963686e-01 3.238363994444471428e-01 5.009084926343994049e-01 4.699835338146177155e-01 7.584215187266507563e-01 1.160751946566696891e+00 3.835136118115943238e-01 3.743516442404919431e-01 4.115642987952538023e-01 2.766019793974127117e-01 7.346887374933364079e-02 3.296437994539330729e-01 2.202841001205742277e-01 8.732414159162721345e-01 2.613754814747799027e-01 2.428944755043538350e-01 6.296444108428500552e-01 4.718598409295464147e-01 3.912906777635423161e-01 8.387779140263232902e-01 1.206303211138676501e-01 4.744734720655550686e-01 3.795936168953183976e-01 2.171809503886467929e-01
