# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.241283891868955470e+04 1.413415791523633925e+04 1.678594910008228180e+04 1.025375095409088863e+04 7.552357009038423712e+03 2.449003590309369611e+04 1.042400576221503070e+04 1.068523246849308816e+04 3.336453196704405127e+04 2.995219959055402796e+03 8.758133277836082925e+03 1.024840986339029769e+04 8.737858728636754677e+03 1.490608576974166499e+04 2.092599505461283843e+04 1.183864414025704173e+04 1.765932237956608878e+04 7.836397119276670310e+03 9.085920693997235503e+03 1.495310004771824788e+04 4.299818431611069173e+03 5.845357066267730261e+03 3.455562695928667381e+03 1.648227003193590281e+04 2.165098001758676037e+04 1.038482282590158502e+04 7.734092031133450291e+03 3.213834736017058458e+04 6.402362561605958035e+03 6.682565631467912681e+03 3.469412939023649415e+03 7.115411167624362861e+03 9.378559567114720267e+03 1.304470677551367953e+04 1.955685528391703701e+04 2.964099636735486001e+03 1.674349378716047795e+04 5.278469623035426775e+04 7.439002469934570399e+03
2.313927921986180247e-01 2.107389982664451544e-01 2.386629937550270864e-01 2.325282248350487302e-01 1.615784283370383101e-01 2.350841672937718785e-01 2.410385006301506150e-01 2.552836040075508461e-01 2.146866343792089848e-01 1.962975602398214225e-01 1.933998031812171892e-01 2.785533849377401228e-01 2.275994585254617342e-01 2.401399361089770479e-01 2.238964327338910931e-01 2.177505547057923541e-01 2.228529391473692833e-01 3.044086394689079489e-01 2.721898196289736505e-01 2.424279414044922254e-01 1.884096403576685508e-01 2.256779524133904757e-01 2.261449093723801040e-01 2.078915033725630412e-01 2.240068795359340670e-01 2.051509908814252992e-01 2.098969890286489504e-01 2.292444391954873706e-01 2.138879026402464578e-01 2.391356196246819665e-01 2.261889170595339782e-01 2.318860796819675607e-01 2.260273826562263777e-01 1.836060173530222883e-01 2.722467841539581435e-01 2.274427265819860544e-01 2.027074056755757414e-01 2.637112091607781705e-01 2.213859746886432944e-01
2.858391792150031807e-01 2.895840125691392930e-01 2.550006171493777174e-01 2.593711191551473227e-01 3.212247924002823440e-01 2.981848857998199986e-01 2.782008169766267969e-01 2.859100899021821962e-01 2.886168026744405646e-01 2.965353354676427133e-01 3.134814681783615331e-01 2.408156377687066529e-01 3.141436516334385476e-01 2.530946250418306120e-01 3.015074456225375066e-01 2.731173551910718866e-01 3.032620247176135431e-01 2.372270168269034474e-01 2.462400109140285287e-01 2.834795728086924038e-01 3.427787470000419057e-01 3.567633561572643996e-01 2.487584663346227576e-01 2.868264187364826800e-01 2.944932528670567984e-01 2.964449183430467039e-01 2.927292607917944545e-01 2.934703851567908583e-01 2.961716416889518255e-01 2.586562145187181749e-01 2.966325818439545792e-01 2.566735108304205037e-01 2.742876125978351287e-01 3.104152779643671312e-01 2.489763993771882955e-01 2.949271921001570540e-01 3.320500162372949093e-01 2.408765902832669115e-01 2.831831442718441560e-01
2.757116432183440158e-01 2.913232169569032193e-01 2.756930338672354264e-01 2.942330921163289759e-01 3.219351613581457050e-01 2.729473053501170199e-01 2.806205277034563017e-01 2.541133436087646413e-01 2.835602651656877748e-01 3.227369939516623876e-01 2.991830728746843748e-01 2.680490309835548701e-01 2.800371893701292247e-01 3.216296876394802440e-01 2.670217415026725494e-01 2.596682256573562553e-01 2.821532603156413632e-01 2.470339321339994898e-01 2.715637558398300011e-01 2.687414218269874033e-01 3.204662037478151482e-01 2.530067894342804546e-01 2.908053157401508937e-01 2.981365354484193375e-01 2.689623311594577237e-01 2.944303940298665379e-01 2.760519062931989787e-01 2.793011731868802472e-01 3.064241504662448823e-01 2.716661144166879760e-01 2.719218142357078261e-01 2.907129636027185882e-01 2.860322826108348537e-01 2.928648052082854503e-01 2.593153519239566607e-01 2.787960052830884550e-01 2.753818405760896648e-01 2.496967264758354899e-01 2.998471813279108833e-01
2.070563853680347788e-01 2.083537722075123333e-01 2.306433552283597421e-01 2.138675638934749434e-01 1.952616179045336686e-01 1.937836415562910752e-01 2.001401546897663419e-01 2.046929624815022886e-01 2.131362977806626757e-01 1.844301103408734765e-01 1.939356557657369029e-01 2.125819463099983542e-01 1.782197004709705213e-01 1.851357512097121238e-01 2.075743801408988787e-01 2.494638644457794208e-01 1.917317758193758659e-01 2.113304115701891139e-01 2.100064136171678197e-01 2.053510639598279119e-01 1.483454088944743676e-01 1.645519019950646422e-01 2.342913085528462724e-01 2.071455424425349967e-01 2.125375364375513831e-01 2.039736967456615424e-01 2.213218438863576165e-01 1.979840024608415239e-01 1.835163052045568621e-01 2.305420514399118825e-01 2.052566868608036721e-01 2.207274458848933196e-01 2.136527221351036121e-01 2.131138994743251858e-01 2.194614645448969004e-01 1.988340760347684644e-01 1.898607375110397122e-01 2.457154740801193726e-01 1.955836997116016662e-01
1.882763421582799745e+00 1.818885171082598173e+00 1.772713319507215335e+00 1.763618904814520105e+00 1.502869723057102203e+00 2.063836236607447194e+00 1.578575156807191737e+00 1.880920871928252858e+00 1.893097659194366900e+00 2.698801457242203661e+00 1.976750266937047584e+00 2.042361109354923432e+00 2.099131762765967579e+00 1.673496659996809299e+00 2.179250181236457529e+00 1.575986334628738605e+00 2.055515270880411194e+00 2.026907518454715618e+00 1.819165456638400569e+00 2.003645412578711760e+00 2.234963183657091790e+00 2.108107429528486065e+00 1.806582629846002375e+00 1.799923503142347281e+00 1.696043088860766268e+00 1.943994843728923838e+00 1.836238872514668108e+00 1.901573612015630133e+00 2.316152441822208807e+00 1.660995552136212305e+00 1.836489075176305885e+00 2.007780232879806448e+00 1.570717178677593528e+00 2.055604573644133737e+00 1.598632853765275641e+00 1.523204869908755255e+00 2.267170636615358337e+00 2.318742861216001483e+00 1.734647778403390683e+00
5.989945228993447113e-02 6.964177634243078063e-02 1.144141143236783037e-01 1.044765456804776088e-01 1.502773159163778571e-01 1.231626133058207756e-01 1.372576484822393417e-01 1.738287804170574047e-01 4.518244825645380963e-02 2.577086227717658232e-03 8.616635437157776911e-02 8.373421901906553944e-02 9.499443494431288049e-02 1.623098671794734327e-01 6.673382311604368622e-02 1.227398005024238486e-01 1.271847552968077000e-01 1.072428033037509665e-01 1.377231310040200052e-01 8.535887420466019282e-02 3.640496030763643726e-02 8.577341368124666299e-02 1.089156987901316181e-01 1.298906486931253601e-01 1.071575309861580588e-01 5.984461858536274659e-02 1.419669483475007599e-01 1.286655705454817500e-01 2.266105297694795406e-01 3.516228185165583275e-02 3.789081610665043232e-02 1.089623339364659688e-01 1.306887658880978575e-01 8.801624877073839504e-02 2.181160322611384594e-01 7.076876517153968260e-02 4.457477346247975397e-02 9.788430256677092822e-02 1.238020625523949952e-01
2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01 2.128480475773258385e-01
1.502444355697582223e-01 1.661641513589181551e-01 2.710347638876813847e-01 6.639976311014914589e-01 4.489601711909098625e-01 3.177564296491881546e-01 4.820233955587474028e-01 4.453665150447725929e-01 2.255213400437136584e-01 1.112374024112985221e-01 4.974487434886661341e-01 3.196022986585818626e-01 3.327593155806460867e-01 1.687791236159870978e-01 2.436447084449773204e-01 2.231982388152187746e-01 2.877268110734262363e-01 3.697580834952923778e-01 3.588559872578370724e-01 5.243536599115452557e-01 6.852726759321549066e-01 2.859711770630349315e-01 2.288695668614092460e-01 3.058364565386408329e-01 2.194120359204062010e-01 5.067360943557210062e-02 2.562421936714174842e-01 1.735887147156936205e-01 6.982063526510963181e-01 2.252109019991329064e-01 2.267623262891838021e-01 4.713347595045313532e-01 3.164650885334827080e-01 3.219773415519909254e-01 5.897963450291380250e-01 8.577537716016044034e-02 3.597075057051002944e-01 3.037745020627986015e-01 1.550642639572718251e-01
