# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.363930792680481452e-01 2.134281573701077295e-01 2.369231466766161531e-01 2.317479943157917666e-01 1.552734840000078997e-01 2.311884396599638292e-01 2.385547200664298040e-01 2.481880392120550116e-01 2.201885278585655470e-01 2.226383838435854468e-01 1.943019980462311336e-01 2.789075350953433841e-01 2.258654383167268132e-01 2.275134763807482308e-01 2.301519028809510814e-01 2.173877603979272877e-01 2.197203113800535457e-01 3.024167702955663506e-01 2.681340579091360810e-01 2.429496111481876108e-01 2.084098162856830583e-01 2.289820297861229759e-01 2.266250601035993684e-01 2.045375618374632720e-01 2.227621457127536564e-01 2.114504512979518691e-01 2.019183685656464333e-01 2.242599231891792277e-01 2.029050200922248026e-01 2.489797621345767042e-01 2.317883490928186185e-01 2.322062570214391275e-01 2.239102323208548295e-01 1.849596771823924790e-01 2.666733258317484645e-01 2.322527393433400644e-01 2.129718950550948398e-01 2.631836651813713179e-01 2.181881606780817773e-01
2.802595989771898277e-01 2.873668383362196765e-01 2.558295410798320235e-01 2.601027992693740742e-01 3.273975440955099181e-01 3.011563343583801289e-01 2.791299272221063332e-01 2.918339940470124350e-01 2.843389745089955900e-01 2.773758371211751950e-01 3.127672446281962171e-01 2.415149067275356443e-01 3.157526334910041310e-01 2.577859525802032592e-01 2.937257106578596288e-01 2.745371187724838236e-01 3.064372482250281027e-01 2.390888796922483461e-01 2.473155496020789657e-01 2.835351981103145236e-01 3.228747536380498495e-01 3.530976139497278288e-01 2.458387755617958970e-01 2.890309381447007664e-01 2.956497890543725027e-01 2.887136168530233249e-01 3.034191798986460853e-01 2.991996897205250749e-01 3.062966958800390493e-01 2.529717727268158689e-01 2.948107527246576209e-01 2.562886700473822610e-01 2.756270422714909296e-01 3.081513905597009217e-01 2.519185696764807414e-01 2.912785398734056841e-01 3.216383162522887806e-01 2.413332103344620061e-01 2.854249125780690677e-01
2.701608455854467850e-01 2.875499924196558421e-01 2.782279173361445479e-01 2.951361914295596578e-01 3.350571146913823850e-01 2.764613130692856746e-01 2.857817638943849770e-01 2.596395159279948350e-01 2.756602171401740797e-01 2.848330899942270733e-01 2.976006606387534004e-01 2.657332681153777854e-01 2.800998562828718730e-01 3.387091978394344283e-01 2.616212054346435667e-01 2.608219224504237377e-01 2.857662224797704598e-01 2.482389300437537472e-01 2.772661008108613934e-01 2.674941604277333851e-01 2.998477223644644418e-01 2.513313985673455431e-01 2.940066702551479838e-01 3.024203023197509221e-01 2.704649131539844653e-01 2.867826643533725184e-01 2.836337360575157951e-01 2.833288972020360785e-01 3.209944574834196485e-01 2.545082658802373388e-01 2.607659400306430730e-01 2.920145756627972045e-01 2.907270170497843198e-01 2.907907441450452435e-01 2.685618483826917591e-01 2.735768809430208504e-01 2.636015018918385633e-01 2.495641289806321550e-01 3.049507724484853965e-01
2.131864761693152421e-01 2.116550118740167241e-01 2.290193949074073032e-01 2.130130149852744736e-01 1.822718572130996584e-01 1.911939129123703396e-01 1.965335888170788858e-01 2.003384508129377461e-01 2.198122804922647555e-01 2.151526890410122572e-01 1.953300966868191935e-01 2.138442900617431863e-01 1.782820719093971273e-01 1.759913731996140818e-01 2.145011810265456120e-01 2.472531983791651233e-01 1.880762179151478919e-01 2.102554199684315561e-01 2.072842916779235600e-01 2.060210303137644527e-01 1.688677077118025949e-01 1.665889576968037356e-01 2.335294940794567786e-01 2.040111976980850395e-01 2.111231520788894866e-01 2.130532674956522321e-01 2.110287154781916863e-01 1.932114898882595633e-01 1.698038265443164441e-01 2.435401992583700603e-01 2.126349581518806875e-01 2.194904972683814071e-01 2.097357083578699488e-01 2.160981881128613558e-01 2.128462561090790350e-01 2.028918398402334011e-01 2.017882868007777886e-01 2.459189955035345487e-01 1.914361542953637030e-01
2.007549785771904016e+00 1.905365598340601041e+00 1.731423817628162221e+00 1.747389883936288690e+00 1.476145763858933924e+00 2.048099395918357324e+00 1.529047157397476875e+00 1.727122231374505379e+00 2.012350691250562207e+00 3.007700533108094820e+00 1.989446231993637015e+00 2.092860828750243041e+00 2.100565063538694321e+00 1.543348459408661277e+00 2.231795968830829757e+00 1.513709985119229051e+00 2.017208794956892426e+00 2.000148781361826167e+00 1.716709160687398095e+00 2.023936808186281855e+00 2.044545093697746285e+00 2.121741175668433677e+00 1.768797860582597581e+00 1.742674735065539382e+00 1.676365107548078104e+00 1.999564040170714430e+00 1.788779195320667315e+00 1.849463402386696487e+00 2.266104821623141863e+00 1.987293007977235959e+00 2.099709523547290235e+00 1.977198356852484462e+00 1.499481159041212264e+00 2.055054922974840714e+00 1.424601652778831662e+00 1.609707254073464489e+00 2.292940308821547202e+00 2.323518835858262577e+00 1.677042827091060229e+00
9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02 9.868977271562559550e-02
3.535809288455066812e-01 2.306016862790775668e-01 1.816232908017808567e-01 2.053487460628356798e-01 2.814173816770031422e-01 1.319577384670418685e-01 4.318924528695294307e-01 1.522375722450881042e-01 2.595284366765665540e-01 4.979630228246145762e-01 1.186350207071826812e-01 1.517086744963961620e-01 6.880241454480999497e-02 2.277608605269549058e-01 3.520230482433124308e-01 3.202360829417568722e-01 1.726577887942006007e-01 7.705036368003502500e-02 1.159053995481179600e-01 1.624458449754634659e-01 2.387365555749181578e-01 2.687940791909643745e-01 4.358041953109751399e-01 2.534995215213057262e-01 2.521567503858840875e-01 3.369750310411228078e-01 1.959411748763265626e-01 1.764638988485936755e-01 1.675951260761431305e-01 5.915352656186736446e-01 2.042133880047130590e-01 3.001021622950451051e-01 2.410649686261608915e-01 2.321229790860913078e-01 2.463118726105412437e-01 2.575273758675535318e-01 2.754567487760947730e-01 1.735362474967334090e-01 1.971359702873789477e-01
1.800252347333913816e-01 1.622365247229266283e-01 2.676675290402295015e-01 6.777150583640214609e-01 5.693406311932708297e-01 3.129128905553363316e-01 6.694357147016261056e-01 5.691634754031160703e-01 2.073360244980498868e-01 1.760462089911863093e-01 4.165673529833099908e-01 2.781581534869877470e-01 2.576873068233087594e-01 1.972211897147548576e-01 2.735885069343889087e-01 2.763017914387160823e-01 2.994761846476076683e-01 3.129897883452391061e-01 3.486454320448712507e-01 4.552744436960662888e-01 3.777855924551499767e-01 2.875648102948860085e-01 3.620274838698962494e-01 3.638847607118753102e-01 2.385594689165997373e-01 7.470460884207860697e-02 2.898131550795862155e-01 1.743853564829609681e-01 1.011276280004684169e+00 2.963550434297048120e-01 1.946011614644442833e-01 5.508121358522521938e-01 3.656554114765436792e-01 3.161856577744190933e-01 9.615548565106396550e-01 9.788479501936662996e-02 2.807743252516869958e-01 2.854708942770997071e-01 1.575505766718669765e-01
