# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.243709682846774376e+04 1.413034203645523121e+04 1.680330246871406416e+04 1.028402225784190523e+04 7.648311862067414040e+03 2.458623948391775775e+04 1.045236795229135896e+04 1.080641559164916544e+04 3.350260383173933951e+04 3.061230529227728766e+03 8.833701936935387494e+03 1.024383883068818977e+04 8.787303637348113625e+03 1.499167233133491391e+04 2.098986114475617796e+04 1.181546677034603272e+04 1.770094615125464406e+04 7.873436088111337085e+03 9.115319438028216609e+03 1.497640807815416338e+04 4.380939839568329262e+03 5.863987258554136133e+03 3.439824916374037457e+03 1.651700305267960357e+04 2.170044422300503356e+04 1.043810829016304342e+04 7.766746922347252621e+03 3.222585242136045417e+04 6.468409748168327496e+03 6.654616938744613435e+03 3.535255332201601959e+03 7.134230446620385919e+03 9.369042011662877485e+03 1.309736847612122983e+04 1.987793086207449960e+04 3.035863789936117882e+03 1.696717952280344980e+04 5.290492280805080372e+04 7.455631013417658323e+03
2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01 2.274663617917438430e-01
2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01 2.848790473408523427e-01
2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01 2.800258928288693050e-01
2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01 2.076286980385345371e-01
1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00 1.844637394422086185e+00
3.953736993603909622e-02 5.415634581672353065e-02 9.648632215146682456e-02 9.297736631298859911e-02 1.584331294982409821e-01 1.282842117919323899e-01 1.184301041433436785e-01 1.908866265568005816e-01 3.207767459547351124e-02 2.194637527562496009e-03 8.540570315091107478e-02 6.168782004006559405e-02 1.004895572117324859e-01 1.565952956177278088e-01 5.701732711713954072e-02 1.025102783966166387e-01 1.047418835424673150e-01 8.681126454452491037e-02 1.254843397484504131e-01 8.112465200843500812e-02 3.534407353980177635e-02 7.320164336022697005e-02 7.802085301123884431e-02 1.238529653655420920e-01 9.691185260917538347e-02 4.128925124655553197e-02 1.306673618210635046e-01 1.187848650825729241e-01 2.702613370586487984e-01 1.859091335117298710e-02 2.644092796159364447e-02 1.025919374978421506e-01 1.196322652418760207e-01 7.149958954074217554e-02 2.786048178366248296e-01 6.102747318220949624e-02 3.915380391402038113e-02 8.057400690328347936e-02 1.151166448170860279e-01
2.966291088158083400e-01 2.512352599170105671e-01 2.896422086893042369e-01 2.769103489763031778e-01 2.460306810512576936e-01 2.534659086473817213e-01 4.820163666789279988e-01 3.315744906974805173e-01 2.656863081999135678e-01 1.651673279542849593e-01 2.064875766174946725e-01 3.376405061838013699e-01 2.381623566496142985e-01 2.769883959166095089e-01 1.827599625272443573e-01 4.998065913978244068e-01 2.743228140743982357e-01 3.383781819866371610e-01 3.891411217408509704e-01 2.239194939021394437e-01 1.634181969464824635e-01 2.754756661659756856e-01 5.089294881529488057e-01 2.223749936196238175e-01 3.304793907763997063e-01 3.537866638769805450e-01 3.208884543090990138e-01 3.051483510434399027e-01 2.636861291332505686e-01 4.506933042784557197e-01 2.584559499971397223e-01 2.139524330176006406e-01 4.018513574108056874e-01 2.478619785611204385e-01 3.950725443679924953e-01 2.856648864979094427e-01 1.353058426839556516e-01 2.860054681381516972e-01 3.167836520440477366e-01
2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01 2.754847588300392003e-01
