# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.240460158409336509e+04 1.411710794175380215e+04 1.675125674728600643e+04 1.022616775926345690e+04 7.568580506461585173e+03 2.445517285126091883e+04 1.029605224516518683e+04 1.072081614268335579e+04 3.352994836021903029e+04 3.141500978076047886e+03 8.745332120964601927e+03 1.020605412091785911e+04 8.703473471499852167e+03 1.498223607766283567e+04 2.090747856387410866e+04 1.172318446043338554e+04 1.766335234066998964e+04 7.800059887835571317e+03 9.044682567478306737e+03 1.491938244042289443e+04 4.336401401254703160e+03 5.819006419993149393e+03 3.416991103132940680e+03 1.649691022549092304e+04 2.158001093175134883e+04 1.037636789504399894e+04 7.726571096274985393e+03 3.210825658690062119e+04 6.487526818989258572e+03 6.668297195006378388e+03 3.497080881434184448e+03 7.102186334332181104e+03 9.332306465421544999e+03 1.301532346500873973e+04 1.967410033069292695e+04 2.960347433932670810e+03 1.683237124740980653e+04 5.259198891803713923e+04 7.427705542158753815e+03
2.342993289592049944e-01 2.119638126518868793e-01 2.352768976764954556e-01 2.302487426743433929e-01 1.530842519072080077e-01 2.296768032581596730e-01 2.348042198737287367e-01 2.469320702145144653e-01 2.185480621131687118e-01 2.199224091633749656e-01 1.916408188266876811e-01 2.764709234149456130e-01 2.242433339128567515e-01 2.240001411108803742e-01 2.279063892920741574e-01 2.151381699715257390e-01 2.177778386226978391e-01 3.011396083244927135e-01 2.669676123705728155e-01 2.413185443336524905e-01 2.048987781235954153e-01 2.253239353872485418e-01 2.265076830594248969e-01 2.019644000316372090e-01 2.202048417052320239e-01 2.102264046770752626e-01 2.006772888290656864e-01 2.223597849747972754e-01 2.019091949651862783e-01 2.456898768727542315e-01 2.304563870880017018e-01 2.301869657411866055e-01 2.225508372296347293e-01 1.840629247271181046e-01 2.648837072412392191e-01 2.304769754989474118e-01 2.108534391470271441e-01 2.625930321937255951e-01 2.155900903199057528e-01
2.813940366868536436e-01 2.884836355735733715e-01 2.568157015050178127e-01 2.613871955050563467e-01 3.298013846180955499e-01 3.029768093979635646e-01 2.820401562270887785e-01 2.941822169394568420e-01 2.859003624955692713e-01 2.797183008965422046e-01 3.161555735189529037e-01 2.415271277647305093e-01 3.187535206295730728e-01 2.584145352337827717e-01 2.965033007684978461e-01 2.744673226242410058e-01 3.098527676533380792e-01 2.400291356761440065e-01 2.502957935947227042e-01 2.849868390132619944e-01 3.267668852686768100e-01 3.592356622362536389e-01 2.461261977743408325e-01 2.912819158811608133e-01 2.988729631119141361e-01 2.901317674570160210e-01 3.061594840643035997e-01 3.018056715842684645e-01 3.096065224986518927e-01 2.559871133548822231e-01 2.956962593476025747e-01 2.584542431477198643e-01 2.771698280966207739e-01 3.108144197601301895e-01 2.527187559573505493e-01 2.926499793557232332e-01 3.236897893698421624e-01 2.420731094942545070e-01 2.899183944142439961e-01
2.724222246356626798e-01 2.895046365278368117e-01 2.800041398356585831e-01 2.959679388414872547e-01 3.383849333032883933e-01 2.771635275974514978e-01 2.898439003670544301e-01 2.605789460232409427e-01 2.776019346066985194e-01 2.882567686704352594e-01 2.995798692160992482e-01 2.682834488739912482e-01 2.813903558571673180e-01 3.432164641288893425e-01 2.639309676458419518e-01 2.616472780368146456e-01 2.873446706041445919e-01 2.492617489776574324e-01 2.764234911000518768e-01 2.682496180220687032e-01 3.030475478802419631e-01 2.514770106732059918e-01 2.905330547539839992e-01 3.041341158799084621e-01 2.725692377216702988e-01 2.891024948592730848e-01 2.866057620632693204e-01 2.852044299218141066e-01 3.198665355656709064e-01 2.533325399525904187e-01 2.632935865230658368e-01 2.931501027654375702e-01 2.925004478966405919e-01 2.919335554068971383e-01 2.700379130797323501e-01 2.761985615342509304e-01 2.663407246247639915e-01 2.496671003852896364e-01 3.054423879873318093e-01
2.118844097182786268e-01 2.100479152467029931e-01 2.279032609828281208e-01 2.123961229791129501e-01 1.787294301714079936e-01 1.901828597464252368e-01 1.933117235321279992e-01 1.983067668227877500e-01 2.179496407845634698e-01 2.121025212696474871e-01 1.926237384382601392e-01 2.137184999463326296e-01 1.756127896004028299e-01 1.743688595264475394e-01 2.116593422935860724e-01 2.487472293674185819e-01 1.850247231198194620e-01 2.095695070217058753e-01 2.063131029346526035e-01 2.054449986310167564e-01 1.652867887274858116e-01 1.639633917032918276e-01 2.368330644122502993e-01 2.026195682072935433e-01 2.083529574611835411e-01 2.105393330066356872e-01 2.065574650433615045e-01 1.906301135191200979e-01 1.686177469704910059e-01 2.449904698197731268e-01 2.105537670413298867e-01 2.182086883456559046e-01 2.077788867771039050e-01 2.131891001058545121e-01 2.123596237216778537e-01 2.006744836110783969e-01 1.991160468583667020e-01 2.456667579267302337e-01 1.890491272785184973e-01
1.937999310684788812e+00 1.852140523447148857e+00 1.685265692191709519e+00 1.714880037096804477e+00 1.454146957409598873e+00 2.013549728148655849e+00 1.492441759724280059e+00 1.654719479926962444e+00 1.977539579503047040e+00 2.949271714732710770e+00 1.966293365455649145e+00 2.026509242464047844e+00 2.074112012317243625e+00 1.476208642833755302e+00 2.192798941392812839e+00 1.442021357433856510e+00 1.967236359202271689e+00 1.898388193663964829e+00 1.661183781276842852e+00 1.996580843703652075e+00 2.049565555174051035e+00 2.071591462405254713e+00 1.668268538657234457e+00 1.714742441353856117e+00 1.627646948190656140e+00 1.937879427916226360e+00 1.746518825712558121e+00 1.779166490305373882e+00 2.219298353602747298e+00 1.908334338421735055e+00 2.050037299508489230e+00 1.907082166842257065e+00 1.475464155692451929e+00 2.025447727956978916e+00 1.387244955080917164e+00 1.548775713942187382e+00 2.277520352786360114e+00 2.241255733939653272e+00 1.612554840245190801e+00
8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02 8.404598177167600659e-02
2.299165248572145603e-01 2.170698251164047965e-01 2.838449601885726925e-01 2.682676874924386778e-01 2.468156853264751316e-01 2.725292847382957406e-01 4.754817405506743810e-01 3.713194738996799527e-01 1.343650939015864076e-01 1.268493883753081227e-03 1.688335148326427781e-01 2.940549621670454639e-01 2.451033233930557664e-01 2.478301802328091163e-01 1.851756625299429415e-01 5.354248951981503968e-01 2.497844115510777507e-01 3.248364079125166115e-01 4.135118482632912373e-01 2.154594910186907464e-01 1.150362028177476792e-01 2.886236810031435618e-01 4.885068006881260749e-01 2.120229828446049403e-01 3.165203803909047431e-01 2.583297573215284082e-01 3.380075645615419067e-01 3.104674144839212890e-01 2.715776748863395484e-01 5.078498500389139192e-01 6.068364518595296270e-02 2.258438921044865211e-01 4.184680494473941859e-01 2.290293033596477457e-01 3.707374142363115688e-01 2.013047317140617687e-01 7.119619371283553155e-02 2.875658917850807961e-01 3.029909076294443060e-01
4.131547242546528276e-01 2.811321302927146659e-01 2.346981477536703997e-01 2.402849466840852322e-01 2.684714930156001378e-01 1.660731343859123965e-01 3.717510280338070516e-01 1.681253763844294258e-01 2.778123925324231802e-01 4.108142981997835452e-01 1.427472944886118422e-01 2.186573003910921020e-01 1.172310988723218733e-01 2.535848933460550514e-01 3.948806114751668983e-01 3.750870460930212924e-01 1.944105574992610053e-01 1.625146464490045684e-01 1.603893298994560346e-01 2.024902724465869330e-01 2.450236484548377891e-01 2.960149741228879638e-01 5.178288739150088693e-01 2.656362492556019750e-01 3.158839442003509856e-01 4.071417253842476436e-01 2.248495731075823290e-01 2.095913245023007521e-01 1.386194871259600059e-01 7.331796655195931267e-01 1.759075299089910560e-01 3.188698908568096679e-01 3.127993677755135371e-01 2.676235853656015462e-01 1.754029195837029653e-01 2.590536969619486318e-01 2.612012570204684248e-01 2.310054490456965870e-01 2.486892292050634778e-01
