# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
1.237019645291972483e+04 1.409303318355138435e+04 1.674511821525389314e+04 1.022589786859465130e+04 7.541970575786184781e+03 2.444652275012037717e+04 1.030541501226593391e+04 1.066606692990008014e+04 3.329593974956711463e+04 2.994702347452654067e+03 8.749953804051432598e+03 1.019839581979948343e+04 8.715590503009014355e+03 1.489734632828647591e+04 2.088647912204828026e+04 1.173357656950505771e+04 1.763891246141666488e+04 7.803741215722939160e+03 9.041675480603209508e+03 1.491595361143830451e+04 4.286441562545536726e+03 5.816517706159404042e+03 3.426875215353546082e+03 1.646792667202676967e+04 2.158279965191581505e+04 1.034908523632800279e+04 7.711951206179817746e+03 3.206614006596542094e+04 6.403810184410667716e+03 6.593412578648629278e+03 3.468403350313665214e+03 7.102119012799252232e+03 9.329917536099776044e+03 1.301342170275088210e+04 1.952149770770680334e+04 2.956526309275237509e+03 1.673520689503405447e+04 5.259273956702735450e+04 7.421130731332932555e+03
2.277646250147377371e-01 2.088347162604188290e-01 2.370608608927076422e-01 2.310764890905709634e-01 1.606200764161514472e-01 2.346557509876047720e-01 2.339874818912728582e-01 2.546643015826875467e-01 2.125811074100355802e-01 1.970265245918307040e-01 1.920554043683053991e-01 2.750036763378203575e-01 2.264729664393790309e-01 2.393611736319160022e-01 2.218482423336358422e-01 2.139151735224498474e-01 2.219790108679146889e-01 3.024355439037605953e-01 2.712983880512838120e-01 2.407437328506684127e-01 1.835436916583620404e-01 2.205383869310351130e-01 2.205721227774171123e-01 2.068897366862650078e-01 2.206985361372345023e-01 2.034754837448582987e-01 2.081784568309182903e-01 2.276769518430595551e-01 2.139964583466815451e-01 2.318735883372101403e-01 2.260771059452837406e-01 2.302689852996614439e-01 2.227732694481789899e-01 1.827784254188081492e-01 2.713495918140635399e-01 2.269189008634067140e-01 2.020542693245961086e-01 2.627270779117702459e-01 2.189296725828957513e-01
2.882756288030600134e-01 2.912410368851379161e-01 2.559598397229961297e-01 2.607245530407317768e-01 3.218431325955560807e-01 2.987929174706464019e-01 2.833214254050521186e-01 2.872462608958964436e-01 2.909736877943442379e-01 2.955311080685232850e-01 3.157000807897054062e-01 2.413987603363855483e-01 3.168853580862724395e-01 2.529413065122955162e-01 3.040386745922152856e-01 2.764434101018654055e-01 3.051097074938158848e-01 2.384325522798543262e-01 2.480055579017882428e-01 2.850832934369708638e-01 3.500845926352565418e-01 3.646913457267630942e-01 2.508901927694243694e-01 2.878095569307931867e-01 2.984450084343733822e-01 2.981247526394161240e-01 2.958602015115666672e-01 2.953960682674215965e-01 2.964553557588391342e-01 2.642215554545809808e-01 2.964891060413222812e-01 2.585032680541973771e-01 2.775503711221101732e-01 3.130143226303679360e-01 2.488031924429113251e-01 2.951460401580075499e-01 3.334115704021067272e-01 2.418549020366117797e-01 2.870576977121401252e-01
2.784527367474437520e-01 2.930691497563914227e-01 2.775552667559803566e-01 2.951074322371194936e-01 3.243408811403108993e-01 2.734328370160997168e-01 2.886247482867220215e-01 2.550233412886484530e-01 2.851181264824353967e-01 3.227114868882698939e-01 2.997348506498251908e-01 2.716253518505841735e-01 2.809086430656678179e-01 3.230196044700824887e-01 2.686378759444628672e-01 2.617951558757870001e-01 2.832142603963833660e-01 2.487056081427411192e-01 2.722632051990655500e-01 2.693875095797677033e-01 3.226942116208458833e-01 2.535280517613635043e-01 2.970743981856128757e-01 2.989011908033551990e-01 2.714903772857004682e-01 2.970210861685283477e-01 2.790850977379374376e-01 2.806267686746464762e-01 3.064381210503416275e-01 2.745441225725441248e-01 2.722991039240014732e-01 2.915707461898520148e-01 2.899272903553201108e-01 2.936823719853005055e-01 2.606267956424357934e-01 2.804607602270359212e-01 2.758193972319434306e-01 2.497183430561166761e-01 3.008674645652335000e-01
2.055070094347585252e-01 2.068550970980518600e-01 2.294240326283158438e-01 2.130915256315777939e-01 1.931959098479815173e-01 1.931184945256491370e-01 1.940663444169530572e-01 2.030660962327674735e-01 2.113270783131847297e-01 1.847308804513761171e-01 1.925096641921640317e-01 2.119722114752099207e-01 1.757330324086807394e-01 1.846779153857060207e-01 2.054752071296860605e-01 2.478462604998977470e-01 1.896970212418860602e-01 2.104262956736439594e-01 2.084328488478623953e-01 2.047854641325929648e-01 1.436775040855355345e-01 1.612422155808382607e-01 2.314632862675456426e-01 2.063995155795866066e-01 2.093660781426917028e-01 2.013786774471972296e-01 2.168762439195776048e-01 1.963002112148724276e-01 1.831100648441376932e-01 2.293607336356647264e-01 2.051346840893925050e-01 2.196570004562891920e-01 2.097490690743907815e-01 2.105248799655234648e-01 2.192204201005893416e-01 1.974742987515498149e-01 1.887147630413537336e-01 2.456996769955012982e-01 1.931451651397306513e-01
1.806643870087935477e+00 1.764527627754172601e+00 1.729587643658094365e+00 1.727321337071853868e+00 1.490227873430799210e+00 2.023466500563956938e+00 1.525476193520681978e+00 1.828499309204280276e+00 1.850532126632357333e+00 2.703958240780753197e+00 1.945302554883735047e+00 1.945310874260404832e+00 2.045046195905827702e+00 1.642583021307514990e+00 2.146973573357545462e+00 1.476901737890254473e+00 2.019664938775531660e+00 1.901400853478823372e+00 1.743798420228480639e+00 1.974217157028331115e+00 2.269203537527388015e+00 2.045335018412728356e+00 1.651154722060834468e+00 1.785164037569111573e+00 1.645115651844326843e+00 1.880232221879318599e+00 1.796705054261061640e+00 1.845048956960749331e+00 2.301622832151340337e+00 1.500509156796077992e+00 1.802535427791502665e+00 1.951365004787187107e+00 1.520980145089570135e+00 2.024714605653529009e+00 1.559380814586295072e+00 1.468685335926226854e+00 2.261830370124033429e+00 2.229508198173487443e+00 1.679163426250795732e+00
4.937075873594964914e-02 5.937458873641193041e-02 9.832597045691124360e-02 8.839846586741720302e-02 1.359042174586151119e-01 1.074914710325083345e-01 9.588577782901522295e-02 1.528170398576729760e-01 3.889251977405754762e-02 2.707879486999898583e-03 7.656989151236354152e-02 6.642574295861371214e-02 8.035326407624751588e-02 1.532120628610296742e-01 5.940704739780634791e-02 9.221716986688306694e-02 1.149238201586461755e-01 8.582318737038668877e-02 1.099428161328013936e-01 7.068276549719769430e-02 2.833428785662954127e-02 6.932394511669111303e-02 8.150745739373434218e-02 1.190146743327736983e-01 9.034117506614695869e-02 5.041178599283169248e-02 1.203909590866210216e-01 1.128416683010284721e-01 2.173179317197066751e-01 2.124299514169880262e-02 3.555767023573665198e-02 9.576393180545088313e-02 1.018922862722827088e-01 7.550193991855684572e-02 1.872911371811772363e-01 6.217495737654100268e-02 4.169822225968786850e-02 8.164575183948941106e-02 1.066381330565227131e-01
2.167674544397943937e-01 2.210959468038656839e-01 2.820411511108126268e-01 2.680210538913499474e-01 2.560671118029174687e-01 2.688863607558958368e-01 5.344817461767372713e-01 3.552789033043290412e-01 1.601579097133500329e-01 8.695581017349440214e-04 1.810187923765607387e-01 3.085216785702963316e-01 2.601681014758869259e-01 2.577573593236786031e-01 1.660159650450705737e-01 5.439644449281761940e-01 2.473056098469951503e-01 3.426332271858456568e-01 4.012994514371692190e-01 2.297936751555987034e-01 1.316957224125789305e-01 2.867373535060249723e-01 4.978345276894625138e-01 2.110109141842353986e-01 3.051955924993640656e-01 2.319708765213719937e-01 3.368709850188665311e-01 3.087743068870443808e-01 2.691951111287964604e-01 3.905274075294391523e-01 8.405220237483165824e-02 2.215092223945265282e-01 4.056141798228109496e-01 2.296847449869586777e-01 3.831059851294056351e-01 1.965456053451559715e-01 8.056203110778498155e-02 2.912670547222648287e-01 2.994357931717988586e-01
2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01 2.520192251881920309e-01
