# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.342639152057937046e-01 2.114383227396949838e-01 2.346868208790115484e-01 2.291111793226325299e-01 1.533517020092321215e-01 2.284842516094529319e-01 2.341913082759996267e-01 2.463339704673896680e-01 2.191292018406477138e-01 2.211070550887068997e-01 1.914747872908832416e-01 2.777082481951850812e-01 2.247428482632173874e-01 2.230965852676001504e-01 2.267573920355315520e-01 2.149447688837342330e-01 2.177251498209930303e-01 3.005630950135672053e-01 2.665098900527887449e-01 2.409957500503573935e-01 2.053213618262696993e-01 2.246430539990709463e-01 2.223881102988251590e-01 2.011780372760815783e-01 2.194406810553946596e-01 2.099989692976416689e-01 1.984962733545869440e-01 2.215556452483445071e-01 2.008202688898046984e-01 2.486419098738646138e-01 2.298945689648898005e-01 2.279708032042362942e-01 2.224638831650096460e-01 1.830778434252652020e-01 2.642207489911618246e-01 2.294176905401593414e-01 2.103678674399364068e-01 2.609491628622563342e-01 2.156257222104264737e-01
2.831300250762045501e-01 2.896495510879397717e-01 2.577916894352916266e-01 2.627953494794105782e-01 3.282668303490887118e-01 3.035947237598395354e-01 2.824340733664986169e-01 2.934265293852025835e-01 2.850598036397088975e-01 2.779831723794598530e-01 3.154088467848191191e-01 2.419392260920988358e-01 3.174467921180786911e-01 2.603578723272814144e-01 2.982215677327393899e-01 2.779022220677144772e-01 3.083291926332348831e-01 2.398655592674421855e-01 2.486483365416681524e-01 2.851098692129400147e-01 3.264963501556747416e-01 3.569535219934631964e-01 2.497004026319152581e-01 2.916589917165828272e-01 2.988124574941705691e-01 2.895885529626173738e-01 3.074546239568124451e-01 3.020602392864278340e-01 3.084551404671818653e-01 2.526642340297369227e-01 2.978900538522722408e-01 2.600190202038570320e-01 2.779869248453994413e-01 3.112912149444823084e-01 2.529970713890126177e-01 2.946855073132650382e-01 3.242655655972955242e-01 2.432345813373857635e-01 2.897758779140614527e-01
2.707636753216674519e-01 2.882097418621442642e-01 2.792629578381232158e-01 2.956566994747991672e-01 3.389508600945956296e-01 2.768088294673693994e-01 2.877613345430913294e-01 2.592340659738933129e-01 2.765954711640685182e-01 2.881862113071849141e-01 2.987699720864365194e-01 2.671378382066600943e-01 2.805725153585115206e-01 3.423252196119472845e-01 2.635106759591708259e-01 2.587873091286770899e-01 2.869378943999389420e-01 2.483699561085065122e-01 2.774185569040603649e-01 2.687682296252232317e-01 3.013255738135424133e-01 2.530068578344311647e-01 2.947224590391757659e-01 3.043110301364755355e-01 2.716667286226945865e-01 2.889969168180924197e-01 2.853340338024265010e-01 2.850188850545193331e-01 3.212527953966555772e-01 2.558315443832448466e-01 2.617717218807490420e-01 2.925338324343573770e-01 2.914012746418928046e-01 2.923924753237199803e-01 2.706376325839741637e-01 2.752185321284406072e-01 2.653282727389459916e-01 2.495760629495956395e-01 3.040508235345623089e-01
2.118423843963342657e-01 2.107023843102209248e-01 2.282585318475736369e-01 2.124367717231577246e-01 1.794306075470835649e-01 1.911121951633381055e-01 1.956132838144104824e-01 2.010054341735144079e-01 2.192155233555748983e-01 2.127235612246483887e-01 1.943463938378610922e-01 2.132146875060559887e-01 1.772378442601924009e-01 1.742203227931711784e-01 2.115103642725582322e-01 2.483656999198743109e-01 1.870077631458331169e-01 2.112013896104841248e-01 2.074232165014827933e-01 2.051261511114793323e-01 1.668567142045131457e-01 1.653965661730346925e-01 2.331890280300838170e-01 2.028519408708601146e-01 2.100801328277402680e-01 2.114155609216486209e-01 2.087150688861741932e-01 1.913652304107083812e-01 1.694717952463578869e-01 2.428623117131536724e-01 2.104436553020889167e-01 2.194763441575493246e-01 2.081479173476981082e-01 2.132384663065325647e-01 2.121445470358513941e-01 2.006782700181349854e-01 2.000382942238221051e-01 2.462401928507622351e-01 1.905475763409497647e-01
1.995050948407370184e+00 1.914765357005748792e+00 1.736928689345792920e+00 1.769492399857943710e+00 1.470959025814247534e+00 2.060639270185529170e+00 1.570541994759714788e+00 1.722996050300418247e+00 2.004641306951795876e+00 2.977512168414178539e+00 1.979950657306670525e+00 2.085838615819185726e+00 2.105536123880202393e+00 1.533861139307470589e+00 2.234491848263372660e+00 1.504183339668222041e+00 2.014123730448077243e+00 1.998203558936941127e+00 1.741355327936718433e+00 2.033425257572706535e+00 2.023571870982827203e+00 2.114376192424704204e+00 1.836287239516460890e+00 1.767210858091114556e+00 1.686175692184951114e+00 2.000495849638576296e+00 1.808231625637551021e+00 1.853642923610561821e+00 2.296346295020148087e+00 1.945672406853524050e+00 2.087281616447967725e+00 1.969702427836542702e+00 1.526560032106859088e+00 2.046512423146905846e+00 1.435526607894324735e+00 1.601564748204609812e+00 2.299936984649272098e+00 2.295275264874801380e+00 1.674208806333939981e+00
8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02 8.998420839895163170e-02
1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00 1.031383627572248551e+00
3.053383791953062643e-01 1.365174910537347297e-01 1.028699594472156364e-01 1.036968531326888793e-01 1.077174615047191281e-01 7.029143514113109226e-02 2.237298211374409984e-01 7.055745117447173587e-02 2.051038849497174021e-01 5.383196727996555353e-01 5.210988336184426556e-02 1.213809463808448730e-01 5.607219047256733341e-02 9.081249125940416000e-02 2.019786509187084245e-01 2.397934672955772117e-01 7.019604987305558264e-02 9.657592123994276911e-02 8.505021020011717392e-02 9.164799106237109250e-02 1.334434854817452831e-01 1.545205741142518241e-01 3.368914609943949312e-01 9.317225894238749528e-02 1.755977646371587597e-01 3.063453941458331720e-01 1.082107419120947878e-01 9.288580641822216655e-02 5.086627290639490068e-02 6.280788626476490055e-01 9.450060735687512703e-02 1.230428587982995564e-01 1.920014945477293011e-01 1.103418840951472107e-01 7.997374700898811362e-02 8.490010179149699854e-02 9.145228832336729785e-02 1.154875610361803667e-01 1.324827533856337280e-01
