# 01_211_02_211 01_214_02_214 01_222_02_222 01_223_02_223 01_337_02_337 01_479_02_479 01_521_02_521 01_526_02_526 01_735_02_735 01_755_02_755 01_1050_02_1050 01_1053_02_1053 01_1215_02_1215 01_2129_02_2129 01_2158_02_2158 01_2210_02_2210 01_2214_02_2214 01_2358_02_2358 01_2371_02_2371 01_2382_02_2382 01_2861_02_2861 01_3295_02_3295 01_3309_02_3309 01_3337_02_3337 01_3346_02_3346 01_3347_02_3347 01_3390_02_3390 01_4025_02_4025 01_4031_02_4031 01_4063_02_4063 01_4268_02_4268 01_4494_02_4494 01_4553_02_4553 01_4570_02_4570 01_4932_02_4932 01_5153_02_5153 01_5233_02_5233 01_5316_02_5316 01_5550_02_5550
5.600000000000000000e+02 5.810000000000000000e+02 5.900000000000000000e+02 3.790000000000000000e+02 2.390000000000000000e+02 7.750000000000000000e+02 3.340000000000000000e+02 3.040000000000000000e+02 1.490000000000000000e+03 1.800000000000000000e+02 3.200000000000000000e+02 4.080000000000000000e+02 3.040000000000000000e+02 5.000000000000000000e+02 8.370000000000000000e+02 3.950000000000000000e+02 6.410000000000000000e+02 2.850000000000000000e+02 2.960000000000000000e+02 5.260000000000000000e+02 2.040000000000000000e+02 2.290000000000000000e+02 1.340000000000000000e+02 5.660000000000000000e+02 7.860000000000000000e+02 4.660000000000000000e+02 2.530000000000000000e+02 1.087000000000000000e+03 1.740000000000000000e+02 3.310000000000000000e+02 1.750000000000000000e+02 2.450000000000000000e+02 3.140000000000000000e+02 4.910000000000000000e+02 4.950000000000000000e+02 1.270000000000000000e+02 7.610000000000000000e+02 1.886000000000000000e+03 2.550000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.340778704178515524e-01 2.118984513035483963e-01 2.347826911926717275e-01 2.296993216873332577e-01 1.534988981583988166e-01 2.283022742542533401e-01 2.338743377552804648e-01 2.460531781717751887e-01 2.191567666526129388e-01 2.139839100320199139e-01 1.919367969956405906e-01 2.772424647315062662e-01 2.242692183062036104e-01 2.244448736588710858e-01 2.276340426701120578e-01 2.143654462063724897e-01 2.180207850268924552e-01 2.995090914873593801e-01 2.653148140696634516e-01 2.412381145838645713e-01 2.059089913447204878e-01 2.247702862694566373e-01 2.220914925625284697e-01 2.022677921913664245e-01 2.194080718643732775e-01 2.097705623266507557e-01 1.982064719986864343e-01 2.214565506921046256e-01 2.006142723709136710e-01 2.475673125960531906e-01 2.310302954636828943e-01 2.298453303641846690e-01 2.219168724430031492e-01 1.835080501798354302e-01 2.643010513669387107e-01 2.310433131520903682e-01 2.117862344163914112e-01 2.607287828087671011e-01 2.153250651336698074e-01
2.835504078360263081e-01 2.889406504029158884e-01 2.576721697605425798e-01 2.623138070899599383e-01 3.281710807170273303e-01 3.038965110442564121e-01 2.829421239694546175e-01 2.935338012358067461e-01 2.850501912149964179e-01 2.830550509696341810e-01 3.150251834072742008e-01 2.428743859601140698e-01 3.178456582325089874e-01 2.592850011082443173e-01 2.967396474718539401e-01 2.791653137395356254e-01 3.079647769773189991e-01 2.412951029029327399e-01 2.492544126965148543e-01 2.849158880756962331e-01 3.257323781633347237e-01 3.568477902572998461e-01 2.501202866858585616e-01 2.907178716182803324e-01 2.988813757697432183e-01 2.897466115586679325e-01 3.075182875759481238e-01 3.021626257459157916e-01 3.083228336260253610e-01 2.536363407085757693e-01 2.953878866128096248e-01 2.584040648843196064e-01 2.789005518936043537e-01 3.103729221058127985e-01 2.529451723424951948e-01 2.932628515428370441e-01 3.229315443371814642e-01 2.435125039857071738e-01 2.900576144272279944e-01
2.706094364233845306e-01 2.883664625027151374e-01 2.792212545877294505e-01 2.953938738118161988e-01 3.385851534771214810e-01 2.767147443190863254e-01 2.875844869538219384e-01 2.590837621831656445e-01 2.765144455217334873e-01 2.992725819409524646e-01 2.985579540056472747e-01 2.668948716981194291e-01 2.806360541735571923e-01 3.417465156163694284e-01 2.634185904568956405e-01 2.585526979715326301e-01 2.869633319132105509e-01 2.478016468456388510e-01 2.775146516526550422e-01 2.685853139704162951e-01 3.012818343114118114e-01 2.528585912082118581e-01 2.947619271295671139e-01 3.038781294472482908e-01 2.715840082850912718e-01 2.891430770036809150e-01 2.854036993704331948e-01 2.849356807535400882e-01 3.216455261931346343e-01 2.582523683285185001e-01 2.619748952094410610e-01 2.926674270258026733e-01 2.914832125326243806e-01 2.922985333832063826e-01 2.705543883905409119e-01 2.744162488770871544e-01 2.650289721631241546e-01 2.493631105379160440e-01 3.040248779066861973e-01
2.117622853227376367e-01 2.107944357908206057e-01 2.283238844590562422e-01 2.125929974108906051e-01 1.797448676474523721e-01 1.910864703824038946e-01 1.955990513214429238e-01 2.013292584092524207e-01 2.192785966106572115e-01 2.036884570573934128e-01 1.944800655914380172e-01 2.129882776102602349e-01 1.772490692877302099e-01 1.745236096165151962e-01 2.122077194011382784e-01 2.479165420825592547e-01 1.870511060825779670e-01 2.113941587640690012e-01 2.079161215811666519e-01 2.052606833700229005e-01 1.670767961805329771e-01 1.655233322650317140e-01 2.330262936220458270e-01 2.031362067431049245e-01 2.101265440807921492e-01 2.113397491110003412e-01 2.088715410549322471e-01 1.914451428084394669e-01 1.694173678099263891e-01 2.405439783668525955e-01 2.116069227140664200e-01 2.190831777256930513e-01 2.076993631307681165e-01 2.138204943311453610e-01 2.121993879000251548e-01 2.012775864279854332e-01 2.002532490833029144e-01 2.463956026676097089e-01 1.905924425324160287e-01
1.997817774322842688e+00 1.914839148660638868e+00 1.736888147744396926e+00 1.766777545784414372e+00 1.473121169718714762e+00 2.060214027953615634e+00 1.574228997588674073e+00 1.727127445022583530e+00 2.007007193455956351e+00 2.862341168860935259e+00 1.980472956127689699e+00 2.085927889922621681e+00 2.103204595217636363e+00 1.526742749094246898e+00 2.236132027383018528e+00 1.510814761962210762e+00 2.012543049840616494e+00 1.998290696852649706e+00 1.759069042278258221e+00 2.032089317316502886e+00 2.035966857600965962e+00 2.112823888285551455e+00 1.840948528108703686e+00 1.758466819626531397e+00 1.687506502587592827e+00 2.007333110019092537e+00 1.809441938019186402e+00 1.856657639029088980e+00 2.294720718404524185e+00 1.938203725766091789e+00 2.071324601780868413e+00 1.968235632818751801e+00 1.536240518904257835e+00 2.051316252757541037e+00 1.435525423774087095e+00 1.591195073729763099e+00 2.287312557853506068e+00 2.294814635751257992e+00 1.676822628436728690e+00
9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02 9.047335349599824883e-02
1.272883087798785118e+00 6.786015034809921298e-01 9.196902107783776481e-01 7.043695754437814260e-01 6.184844133550304601e-01 1.321512777892364321e+00 1.482135096490824644e+00 2.477438901598787435e+00 8.389712460372452663e-01 7.157944958065132823e+01 6.308196658951308322e-01 2.059409053691930502e+00 2.621379334370167236e+00 4.792371352240542004e-01 4.753142490751552929e-01 2.060903161429741726e+00 6.040556712869671330e-01 4.910503627720228081e+00 1.037900805723928777e+01 8.685483797186546173e-01 5.306212726820320746e-01 9.461226269906570785e-01 1.128651508322248809e+00 4.283944531160839841e-01 1.184360704982952317e+00 1.443860465985526087e+00 1.272728866885500576e+00 1.238123954439389607e+00 8.961193867310007777e-01 2.758582015661020570e+00 1.117811089056047480e-01 3.598546474650960447e-01 1.728908396007356352e+00 5.162749615370971767e-01 9.446105804511982784e-01 3.339690597199267419e-01 1.181857853418855492e-01 1.193515105955395894e+00 1.262011617360127902e+00
2.788047485262485359e-01 1.786091110662024750e-01 1.123346720513759694e-01 1.366220400705759619e-01 1.612381254856388169e-01 5.721837715914562111e-02 1.671725004355319177e-01 3.159140613269549591e-02 2.226349406815015808e-01 3.375541228326571219e-01 7.789042309280727605e-02 7.207255267326548309e-02 2.525059961882095833e-02 1.630473382248905090e-01 3.059772051291712036e-01 1.459668085064848020e-01 1.077626812002047546e-01 2.705703157380916560e-02 1.049162355530634111e-02 1.035071583608635076e-01 1.967516232412217791e-01 1.645787830625302095e-01 3.174532401870034382e-01 1.835933441557791590e-01 1.599718918820267621e-01 2.685322988234290498e-01 9.071901795058523454e-02 7.993942527089387129e-02 5.782025525323342130e-02 4.640798895621200404e-01 1.984896750814904853e-01 2.447931805493469559e-01 1.352950741471312668e-01 1.759626534886218341e-01 8.645226460468249940e-02 1.975108247059796374e-01 2.674915783724390317e-01 1.040257586531406209e-01 1.143481694627954681e-01
