SITE	BESTPROB	takifugu_rubripes1	takifugu_rubripes2	tetraodon_nigroviridis1	tetraodon_nigroviridis2	gasterosteus_aculeatus1	gasterosteus_aculeatus2	xiphophorus_maculatus1	xiphophorus_maculatus2	oryzias_latipes1	oryzias_latipes2	oreochromis_niloticus1	oreochromis_niloticus2	danio_rerio1	danio_rerio2	astyanax_mexicanus1	astyanax_mexicanus2
0	0.217664	ENSTRUG00000010749	NONE	ENSTNIG00000017484	ENSTNIG00000010748	ENSGACG00000008099	ENSGACG00000006772	ENSXMAG00000000268	NONE	ENSORLG00000017270	ENSORLG00000011302	ENSONIG00000005837	ENSONIG00000008078	ENSDARG00000059340	ENSDARG00000092376	ENSAMXG00000018702	NONE
1	0.528523	ENSTRUG00000012786	NONE	ENSTNIG00000014033	ENSTNIG00000017477	ENSGACG00000009267	ENSGACG00000006693	ENSXMAG00000005751	ENSXMAG00000006352	NONE	ENSORLG00000013622	ENSONIG00000007696	ENSONIG00000012246	ENSDARG00000035883	NONE	ENSAMXG00000011272	NONE
2	0.569642	ENSTRUG00000012695	NONE	ENSTNIG00000014034	NONE	ENSGACG00000009249	NONE	ENSXMAG00000005748	NONE	ENSORLG00000020880	ENSORLG00000013614	ENSONIG00000007699	NONE	ENSDARG00000018397	NONE	ENSAMXG00000011266	NONE
3	0.612413	ENSTRUG00000012688	ENSTRUG00000005795	ENSTNIG00000014024	ENSTNIG00000016903	ENSGACG00000009242	NONE	ENSXMAG00000005740	ENSXMAG00000019004	NONE	ENSORLG00000017487	ENSONIG00000007701	ENSONIG00000008180	ENSDARG00000035875	NONE	ENSAMXG00000011254	NONE
4	0.708294	ENSTRUG00000012550	NONE	ENSTNIG00000014025	NONE	ENSGACG00000009223	NONE	ENSXMAG00000005730	NONE	ENSORLG00000020883	NONE	ENSONIG00000007704	NONE	ENSDARG00000035887	NONE	ENSAMXG00000011241	NONE
5	0.711224	ENSTRUG00000010156	NONE	ENSTNIG00000009274	NONE	ENSGACG00000009150	NONE	ENSXMAG00000000350	NONE	ENSORLG00000014105	NONE	ENSONIG00000007710	NONE	ENSDARG00000044980	NONE	ENSAMXG00000011854	NONE
6	0.711289	ENSTRUG00000010528	NONE	ENSTNIG00000009272	NONE	ENSGACG00000009137	NONE	ENSXMAG00000000399	NONE	ENSORLG00000014139	NONE	ENSONIG00000007716	NONE	ENSDARG00000017445	NONE	ENSAMXG00000011863	NONE
7	0.705733	ENSTRUG00000010713	ENSTRUG00000005364	ENSTNIG00000009271	ENSTNIG00000016904	ENSGACG00000009108	ENSGACG00000007221	ENSXMAG00000000379	ENSXMAG00000018986	ENSORLG00000014155	ENSORLG00000017491	ENSONIG00000007720	ENSONIG00000008187	ENSDARG00000015427	NONE	ENSAMXG00000011881	NONE
8	0.705799	NONE	ENSTRUG00000012289	NONE	ENSTNIG00000008924	NONE	ENSGACG00000007455	ENSXMAG00000000412	ENSXMAG00000018746	ENSORLG00000014159	ENSORLG00000017569	ENSONIG00000007726	ENSONIG00000008246	NONE	ENSDARG00000039034	ENSAMXG00000011910	ENSAMXG00000008614
9	0.71129	NONE	ENSTRUG00000012146	NONE	ENSTNIG00000008923	NONE	ENSGACG00000007418	NONE	ENSXMAG00000018748	NONE	ENSORLG00000017563	NONE	ENSONIG00000008240	NONE	ENSDARG00000052623	NONE	ENSAMXG00000008620
10	0.711289	NONE	ENSTRUG00000012125	NONE	ENSTNIG00000008922	NONE	ENSGACG00000007415	NONE	ENSXMAG00000018752	NONE	ENSORLG00000017556	NONE	ENSONIG00000008239	NONE	ENSDARG00000052610	NONE	ENSAMXG00000008630
11	0.710311	ENSTRUG00000010948	ENSTRUG00000012090	ENSTNIG00000009270	ENSTNIG00000008921	ENSGACG00000009095	ENSGACG00000007409	ENSXMAG00000000414	ENSXMAG00000018754	ENSORLG00000014178	ENSORLG00000017554	ENSONIG00000007727	ENSONIG00000008229	ENSDARG00000035895	ENSDARG00000069739	ENSAMXG00000011917	ENSAMXG00000008645
12	0.709966	ENSTRUG00000010981	ENSTRUG00000003663	ENSTNIG00000009269	ENSTNIG00000016917	ENSGACG00000009088	ENSGACG00000007390	ENSXMAG00000000417	ENSXMAG00000018761	ENSORLG00000014204	ENSORLG00000017549	ENSONIG00000007729	ENSONIG00000008227	NONE	ENSDARG00000039750	ENSAMXG00000011920	ENSAMXG00000004081
13	0.710275	ENSTRUG00000011058	ENSTRUG00000002945	ENSTNIG00000009268	ENSTNIG00000016916	ENSGACG00000009058	ENSGACG00000007385	ENSXMAG00000000436	ENSXMAG00000018786	ENSORLG00000014218	ENSORLG00000017545	ENSONIG00000007731	ENSONIG00000008222	ENSDARG00000005625	ENSDARG00000012741	ENSAMXG00000011923	ENSAMXG00000004074
14	0.711216	NONE	ENSTRUG00000001838	NONE	ENSTNIG00000016915	NONE	ENSGACG00000007369	NONE	ENSXMAG00000018815	NONE	ENSORLG00000017542	NONE	ENSONIG00000008219	NONE	ENSDARG00000002194	NONE	ENSAMXG00000004067
15	0.711264	NONE	ENSTRUG00000001586	NONE	ENSTNIG00000016913	NONE	ENSGACG00000007329	NONE	ENSXMAG00000007653	NONE	ENSORLG00000017532	NONE	ENSONIG00000008216	NONE	ENSDARG00000033364	NONE	ENSAMXG00000004060
16	0.711264	NONE	ENSTRUG00000001499	NONE	ENSTNIG00000016912	NONE	ENSGACG00000007305	NONE	ENSXMAG00000007663	NONE	ENSORLG00000017523	NONE	ENSONIG00000008213	NONE	ENSDARG00000004706	NONE	ENSAMXG00000004051
17	0.708746	NONE	ENSTRUG00000001517	NONE	ENSTNIG00000016911	NONE	ENSGACG00000007301	NONE	ENSXMAG00000018835	NONE	ENSORLG00000017515	NONE	ENSONIG00000008210	NONE	ENSDARG00000052826	NONE	ENSAMXG00000004048
